Word; Definition
Abstract;Абстрактный. Не несущий конкретной реализации. Напр. абстрактный класс.
API (Application programming interface);Интерфейс программирования приложения.
Argument;Аргумент. Обычно аргумент функции
Assignment;Присвоение. Напр. присвоение значения переменной
AST (Abstract Syntax Tree);Абстрактное синтаксическое дерево. Промежуточная форма представления программы.
To backport;Процесс переноса кода в более старую версию. Бэкпортят, обычно, баг фиксы
Binary;Двоичный. Нули и единицы
Brackets;Квадратные скобки
Bug;Ошибка
Cache;Сохраненный результат вычисления.
Callback;Функция, которая передается в качестве аргумента в другую функцию и вызывается асинхронно.
Class;Класс;Client;клиент. Обычно программа, которая соединяется по сети к другой программе, называемой сервером.
Closure;Замыкание
Comment;Комментарий
To comment out;Комментировать
Compiler;Компилятор. Программа выполняющая компиляцию
to Compile;Компилировать. Преобразовывать исходный код в объектный код.
Conditional;Условное выражение
Constant;Константа
to Crash;Рушиться. Когда программа падает из-за ошибки
to Commit;фиксация изменений кода в какой-либо из систем контроля версий
Deadlock;Состояние когда два процесса ждут результата выполнения друг друга
to Debug;Отладка программы, поиск ошибки.
Declaration;Определение свойств идентификатора. Без присвоения значения.
Definition;Объявление идентификатора с присвоением значения.
Dependency;Зависимость
Deprecation;Объявление конструкции или API нежелательной к использованию. Обычно означает, что конструкция будет удалена в следующей версии.
Double;Число двойной точности
Embedded;Встраиваемый. Язык или микроконтроллер.
Encapsulation;Инкапсуляция. Механизм ограничения доступа к, обычно, внутренностям класса.
Exception;Исключение
to Execute;Выполнить
Explicit;Явный
Feature;Особенность. Новая функциональность программы.
Fix;Починить ошибку
Float;Число с плавающей точкой
Framework;Основа, набор API, для построения приложений.
Function;Функция
Glitch;Ошибка в программе
Hash;Функция, которая преобразует данные произвольной длины в строку фиксированной длины.
to Hack;Взламывать программу, либо быстро «на коленке» собрать решение из разных кусочков (to hack together a fix)
Heap;Куча. Особая структура данных
Hotfix;Быстрое исправление ошибки. Обычно не очень элегантное, главное чтобы работало.
Implicit;Неявный;Infix;Инфиксная запись. Когда оператор располагается между операндами.
Inheritance;Наследование
Instance;Экземпляр
Integer;Десятичное число
Interface;Интерфейс
Interpreter;Интерпретатор. Программа, которая напрямую выполняет программный код без предварительной компиляции
Introspection;Интроспекция. Самоанализ. Способность программы исследовать свойства и типы объектов во время исполнения.
to Invoke;Вызывать
Issue;Вопрос. Проблема.
to Iterate;Повторять
Lambda;Лямбда
Legacy;Наследие. Старый код
Loop;Цикл
Map;Структура данных, в которой каждому ключу соответствует одно значение.
Merge;Слияние
Method;Метод. Функция принадлежащая классу.
Mock;Пустышка. Программная конструкция, которая заменяет реальную в тестировании
Module;Модуль
Monad;Монада. Поищите определение сами 🙂
Mutex (mutual exclusion);Мьютекс. Объект программы позволяющий потокам программы использовать разделяемые ресурсы.
MVP (Minimal Valuable Product);Программа с минимальным набором функциональности, но приносящая пользу.
Operand;Операнд
Operator;Оператор
Package;Пакет
Paradigm;Парадигма
Parenthesis;круглые скобки
Pattern;Шаблон
PoC (Proof of a concept);Минимальная реализация подтверждающая жизнеспособность идеи.
Polymorphism;Полиморфизм
Postfix;Форма записи выражения, в которой операнд расположен после операнд.;Prefix;Форма записи выражения, в которой операнд расположен перед операнд.
Procedure;Процедура. Одно из названий функции
Promise;Объект в асинхронном программировании, значение которого не известно и будет вычислено асинхронно.
Property;Свойство
Protocol;Протокол
Prototype;Прототип
Proxy;Прокси. Объект программы или программа, которая является посредником между двумя объектами программы или программами
Query;Запрос;Queue;Очередь. FIFO - first in first out.
Recursion;Рекурсия. Программа, которая вызывает сама себя
Reflection;Способность программы исследовать и изменять саму себя во время исполнения
Repository (repo);Репозиторий. Хранилище кода
Review;Обзор. Рецензия. Процесс обзора изменений в коде другим программистом.
SDK (Software Development Kit);Набор инструментов облегчающий разработку программ.
Server;Сервер
Sprint;Спринт. Обычно промежуток премени длиной 2 недели, на который команда планирует работу
Stack;Стэк. LIFO - Last in first out. Структура данных, в которой элементы добавленные последними будут извлечены первыми
Stand up;Ежедневный митинг в Scrum. Когда каждый член поманды рассказывает, что он делал вчера и что собирается делать сегодня.
Stub;см. Mock
Ternary;Тернарный оператор
Test case;Тестовый
Test suit;Набор тестов
Trait;Обычно в ООП. Набор методов, который может быть использован для расширения функциональности класса.
Unary;Унарный оператор. Оператор, который применяется к одному операнду
Variable;Переменная
Yield;Уступать. Процесс, когда программа уступает управление другому процессу.